bot_id,market,algorithm,symbol,closed_trades_72h,wins,win_rate_pct,realized_pnl_72h,status,deactivated_at,deactivation_reason
nasdaq_xgboost,NASDAQ,xgboost,"",39,11,28.2,-17.13,DEACTIVATED,2026-07-03 08:49,Tier-2 YELLOW re-eval 2026-07-03 08:49: realized PnL<0 tren >=5 lenh dong (full window) -> chien luoc thua co he thong. Deactivate.
nasdaq_ensemble_v9,NASDAQ,ensemble,"",80,17,21.3,-17.07,DEACTIVATED,2026-07-03 08:49,Tier-2 YELLOW re-eval 2026-07-03 08:49: realized PnL<0 tren >=5 lenh dong (full window) -> chien luoc thua co he thong. Deactivate.
crypto_ensemble_v7,CRYPTO,ensemble,"",47,17,36.2,-15.62,DEACTIVATED,2026-07-03 08:49,Tier-2 YELLOW re-eval 2026-07-03 08:49: realized PnL<0 tren >=5 lenh dong (full window) -> chien luoc thua co he thong. Deactivate.
sp500_ensemble_v3,SP500,ensemble,"",21,3,14.3,-14.34,DEACTIVATED,2026-07-03 08:49,Tier-2 YELLOW re-eval 2026-07-03 08:49: realized PnL<0 tren >=5 lenh dong (full window) -> chien luoc thua co he thong. Deactivate.
nasdaq_lstm_nn_v9,NASDAQ,lstm_nn,"",33,14,42.4,-11.82,DEACTIVATED,2026-07-03 08:49,Tier-2 YELLOW re-eval 2026-07-03 08:49: realized PnL<0 tren >=5 lenh dong (full window) -> chien luoc thua co he thong. Deactivate.
nasdaq_lstm_nn_v4,NASDAQ,lstm_nn,"",24,5,20.8,-11.65,DEACTIVATED,2026-07-03 08:49,Tier-2 YELLOW re-eval 2026-07-03 08:49: realized PnL<0 tren >=5 lenh dong (full window) -> chien luoc thua co he thong. Deactivate.
crypto_ensemble_v3,CRYPTO,ensemble,"",74,17,23.0,-11.51,DEACTIVATED,2026-07-03 08:49,Tier-2 YELLOW re-eval 2026-07-03 08:49: realized PnL<0 tren >=5 lenh dong (full window) -> chien luoc thua co he thong. Deactivate.
nasdaq_sarima_v5,NASDAQ,sarima,"",12,4,33.3,-10.98,DEACTIVATED,2026-07-03 08:49,Tier-2 YELLOW re-eval 2026-07-03 08:49: realized PnL<0 tren >=5 lenh dong (full window) -> chien luoc thua co he thong. Deactivate.
nasdaq_qcom_egarch__ps_v3,NASDAQ,egarch__ps,QCOM,22,3,13.6,-10.83,DEACTIVATED,2026-07-03 08:49,Tier-2 YELLOW re-eval 2026-07-03 08:49: realized PnL<0 tren >=5 lenh dong (full window) -> chien luoc thua co he thong. Deactivate.
crypto_gru_nn,CRYPTO,gru_nn,"",187,34,18.2,-10.07,DEACTIVATED,2026-07-03 08:49,Tier-2 YELLOW re-eval 2026-07-03 08:49: realized PnL<0 tren >=5 lenh dong (full window) -> chien luoc thua co he thong. Deactivate.
crypto_ensemble,CRYPTO,ensemble,"",50,18,36.0,-9.92,DEACTIVATED,2026-07-03 08:49,Tier-2 YELLOW re-eval 2026-07-03 08:49: realized PnL<0 tren >=5 lenh dong (full window) -> chien luoc thua co he thong. Deactivate.
crypto_gru_nn_v2,CRYPTO,gru_nn,"",142,27,19.0,-9.16,DEACTIVATED,2026-07-03 08:49,Tier-2 YELLOW re-eval 2026-07-03 08:49: realized PnL<0 tren >=5 lenh dong (full window) -> chien luoc thua co he thong. Deactivate.
nasdaq_intc_random_forest__ps_v9,NASDAQ,random_forest__ps,INTC,19,4,21.1,-8.84,DEACTIVATED,2026-07-03 08:49,Tier-2 YELLOW re-eval 2026-07-03 08:49: realized PnL<0 tren >=5 lenh dong (full window) -> chien luoc thua co he thong. Deactivate.
crypto_gru_nn_v6,CRYPTO,gru_nn,"",188,34,18.1,-8.68,DEACTIVATED,2026-07-03 08:49,Tier-2 YELLOW re-eval 2026-07-03 08:49: realized PnL<0 tren >=5 lenh dong (full window) -> chien luoc thua co he thong. Deactivate.
nasdaq_qcom_egarch__ps_v9,NASDAQ,egarch__ps,QCOM,21,3,14.3,-8.66,DEACTIVATED,2026-07-03 08:49,Tier-2 YELLOW re-eval 2026-07-03 08:49: realized PnL<0 tren >=5 lenh dong (full window) -> chien luoc thua co he thong. Deactivate.
nasdaq_intc_xgboost__ps_v9,NASDAQ,xgboost__ps,INTC,13,3,23.1,-7.77,DEACTIVATED,2026-07-03 08:49,Tier-2 YELLOW re-eval 2026-07-03 08:49: realized PnL<0 tren >=5 lenh dong (full window) -> chien luoc thua co he thong. Deactivate.
nasdaq_intc_xgboost__ps_v3,NASDAQ,xgboost__ps,INTC,12,2,16.7,-7.66,DEACTIVATED,2026-07-03 08:49,Tier-2 YELLOW re-eval 2026-07-03 08:49: realized PnL<0 tren >=5 lenh dong (full window) -> chien luoc thua co he thong. Deactivate.
sp500_random_forest_v9,SP500,random_forest,"",21,9,42.9,-7.06,DEACTIVATED,2026-07-03 08:49,Tier-2 YELLOW re-eval 2026-07-03 08:49: realized PnL<0 tren >=5 lenh dong (full window) -> chien luoc thua co he thong. Deactivate.
nasdaq_sarima_v6,NASDAQ,sarima,"",71,20,28.2,-7.05,DEACTIVATED,2026-07-03 08:49,Tier-2 YELLOW re-eval 2026-07-03 08:49: realized PnL<0 tren >=5 lenh dong (full window) -> chien luoc thua co he thong. Deactivate.
nasdaq_ensemble_v3,NASDAQ,ensemble,"",90,21,23.3,-6.33,DEACTIVATED,2026-07-03 08:49,Tier-2 YELLOW re-eval 2026-07-03 08:49: realized PnL<0 tren >=5 lenh dong (full window) -> chien luoc thua co he thong. Deactivate.
nasdaq_intc_arima_garch__ps_v9,NASDAQ,arima_garch__ps,INTC,9,2,22.2,-5.61,DEACTIVATED,2026-07-03 08:49,Tier-2 YELLOW re-eval 2026-07-03 08:49: realized PnL<0 tren >=5 lenh dong (full window) -> chien luoc thua co he thong. Deactivate.
crypto_gru_nn_v7,CRYPTO,gru_nn,"",186,34,18.3,-5.39,DEACTIVATED,2026-07-03 08:49,Tier-2 YELLOW re-eval 2026-07-03 08:49: realized PnL<0 tren >=5 lenh dong (full window) -> chien luoc thua co he thong. Deactivate.
nasdaq_qcom_sarima__ps,NASDAQ,sarima__ps,QCOM,11,1,9.1,-5.32,DEACTIVATED,2026-07-03 08:49,Tier-2 YELLOW re-eval 2026-07-03 08:49: realized PnL<0 tren >=5 lenh dong (full window) -> chien luoc thua co he thong. Deactivate.
nasdaq_qcom_sarima__ps_v4,NASDAQ,sarima__ps,QCOM,11,1,9.1,-5.32,DEACTIVATED,2026-07-03 08:49,Tier-2 YELLOW re-eval 2026-07-03 08:49: realized PnL<0 tren >=5 lenh dong (full window) -> chien luoc thua co he thong. Deactivate.
nasdaq_intc_random_forest__ps_v3,NASDAQ,random_forest__ps,INTC,17,3,17.6,-5.16,DEACTIVATED,2026-07-03 08:49,Tier-2 YELLOW re-eval 2026-07-03 08:49: realized PnL<0 tren >=5 lenh dong (full window) -> chien luoc thua co he thong. Deactivate.
crypto_gru_nn_v3,CRYPTO,gru_nn,"",239,39,16.3,-4.71,DEACTIVATED,2026-07-03 08:49,Tier-2 YELLOW re-eval 2026-07-03 08:49: realized PnL<0 tren >=5 lenh dong (full window) -> chien luoc thua co he thong. Deactivate.
crypto_ensemble_v8,CRYPTO,ensemble,"",10,3,30.0,-4.39,DEACTIVATED,2026-07-03 08:49,Tier-2 YELLOW re-eval 2026-07-03 08:49: realized PnL<0 tren >=5 lenh dong (full window) -> chien luoc thua co he thong. Deactivate.
nasdaq_qcom_sarima__ps_v3,NASDAQ,sarima__ps,QCOM,11,1,9.1,-4.39,DEACTIVATED,2026-07-03 08:49,Tier-2 YELLOW re-eval 2026-07-03 08:49: realized PnL<0 tren >=5 lenh dong (full window) -> chien luoc thua co he thong. Deactivate.
nasdaq_qcom_sarima__ps_v6,NASDAQ,sarima__ps,QCOM,11,1,9.1,-4.39,DEACTIVATED,2026-07-03 08:49,Tier-2 YELLOW re-eval 2026-07-03 08:49: realized PnL<0 tren >=5 lenh dong (full window) -> chien luoc thua co he thong. Deactivate.
nasdaq_qcom_sarima__ps_v9,NASDAQ,sarima__ps,QCOM,12,1,8.3,-4.25,DEACTIVATED,2026-07-03 08:49,Tier-2 YELLOW re-eval 2026-07-03 08:49: realized PnL<0 tren >=5 lenh dong (full window) -> chien luoc thua co he thong. Deactivate.
sp500_egarch_v3,SP500,egarch,"",27,3,11.1,-4.18,DEACTIVATED,2026-07-03 08:49,Tier-2 YELLOW re-eval 2026-07-03 08:49: realized PnL<0 tren >=5 lenh dong (full window) -> chien luoc thua co he thong. Deactivate.
nasdaq_xgboost_v5,NASDAQ,xgboost,"",5,1,20.0,-4.12,DEACTIVATED,2026-07-03 08:49,Tier-2 YELLOW re-eval 2026-07-03 08:49: realized PnL<0 tren >=5 lenh dong (full window) -> chien luoc thua co he thong. Deactivate.
sp500_egarch_v6,SP500,egarch,"",40,6,15.0,-3.68,DEACTIVATED,2026-07-03 08:49,Tier-2 YELLOW re-eval 2026-07-03 08:49: realized PnL<0 tren >=5 lenh dong (full window) -> chien luoc thua co he thong. Deactivate.
nasdaq_csco_arima_garch__ps_v9,NASDAQ,arima_garch__ps,CSCO,14,3,21.4,-3.45,DEACTIVATED,2026-07-03 08:49,Tier-2 YELLOW re-eval 2026-07-03 08:49: realized PnL<0 tren >=5 lenh dong (full window) -> chien luoc thua co he thong. Deactivate.
nasdaq_csco_arima_garch__ps_v3,NASDAQ,arima_garch__ps,CSCO,14,3,21.4,-3.45,DEACTIVATED,2026-07-03 08:49,Tier-2 YELLOW re-eval 2026-07-03 08:49: realized PnL<0 tren >=5 lenh dong (full window) -> chien luoc thua co he thong. Deactivate.
nasdaq_avgo_egarch__ps_v9,NASDAQ,egarch__ps,AVGO,24,1,4.2,-3.27,DEACTIVATED,2026-07-03 08:49,Tier-2 YELLOW re-eval 2026-07-03 08:49: realized PnL<0 tren >=5 lenh dong (full window) -> chien luoc thua co he thong. Deactivate.
nasdaq_avgo_egarch__ps_v3,NASDAQ,egarch__ps,AVGO,24,1,4.2,-3.27,DEACTIVATED,2026-07-03 08:49,Tier-2 YELLOW re-eval 2026-07-03 08:49: realized PnL<0 tren >=5 lenh dong (full window) -> chien luoc thua co he thong. Deactivate.
sp500_egarch_v8,SP500,egarch,"",10,1,10.0,-2.66,DEACTIVATED,2026-07-03 08:49,Tier-2 YELLOW re-eval 2026-07-03 08:49: realized PnL<0 tren >=5 lenh dong (full window) -> chien luoc thua co he thong. Deactivate.
sp500_egarch,SP500,egarch,"",39,6,15.4,-2.62,DEACTIVATED,2026-07-03 08:49,Tier-2 YELLOW re-eval 2026-07-03 08:49: realized PnL<0 tren >=5 lenh dong (full window) -> chien luoc thua co he thong. Deactivate.
sp500_egarch_v7,SP500,egarch,"",39,6,15.4,-2.62,DEACTIVATED,2026-07-03 08:49,Tier-2 YELLOW re-eval 2026-07-03 08:49: realized PnL<0 tren >=5 lenh dong (full window) -> chien luoc thua co he thong. Deactivate.
sp500_ko_lstm_nn__ps,SP500,lstm_nn__ps,KO,17,2,11.8,-2.45,DEACTIVATED,2026-07-03 08:49,Tier-2 YELLOW re-eval 2026-07-03 08:49: realized PnL<0 tren >=5 lenh dong (full window) -> chien luoc thua co he thong. Deactivate.
sp500_ko_lstm_nn__ps_v7,SP500,lstm_nn__ps,KO,17,2,11.8,-2.45,DEACTIVATED,2026-07-03 08:49,Tier-2 YELLOW re-eval 2026-07-03 08:49: realized PnL<0 tren >=5 lenh dong (full window) -> chien luoc thua co he thong. Deactivate.
