bot_id,market,algorithm,symbol
gold_xau_spot_arima_garch__ps_v6,GOLD,arima_garch__ps,XAU_spot
gold_egarch_v2,GOLD,egarch,
gold_egarch,GOLD,egarch,
gold_egarch_v7,GOLD,egarch,
gold_egarch_v5,GOLD,egarch,
gold_egarch_v10,GOLD,egarch,
gold_egarch_v6,GOLD,egarch,
gold_egarch_v4,GOLD,egarch,
gold_egarch_v8,GOLD,egarch,
gold_btmc_nhan_tron_egarch__ps_v9,GOLD,egarch__ps,BTMC_nhan_tron
gold_btmc_nhan_tron_egarch__ps_v4,GOLD,egarch__ps,BTMC_nhan_tron
gold_btmc_nhan_tron_egarch__ps_v10,GOLD,egarch__ps,BTMC_nhan_tron
gold_btmc_nhan_tron_egarch__ps_v2,GOLD,egarch__ps,BTMC_nhan_tron
gold_btmc_nhan_tron_egarch__ps,GOLD,egarch__ps,BTMC_nhan_tron
gold_btmc_nhan_tron_egarch__ps_v8,GOLD,egarch__ps,BTMC_nhan_tron
gold_btmc_nhan_tron_egarch__ps_v3,GOLD,egarch__ps,BTMC_nhan_tron
gold_btmc_nhan_tron_egarch__ps_v5,GOLD,egarch__ps,BTMC_nhan_tron
gold_btmc_nhan_tron_egarch__ps_v6,GOLD,egarch__ps,BTMC_nhan_tron
gold_btmc_nhan_tron_egarch__ps_v7,GOLD,egarch__ps,BTMC_nhan_tron
gold_btmc_sjc_egarch__ps_v5,GOLD,egarch__ps,BTMC_sjc
gold_btmc_sjc_egarch__ps_v4,GOLD,egarch__ps,BTMC_sjc
gold_btmc_sjc_egarch__ps_v7,GOLD,egarch__ps,BTMC_sjc
gold_btmc_sjc_egarch__ps_v2,GOLD,egarch__ps,BTMC_sjc
gold_btmc_sjc_egarch__ps_v3,GOLD,egarch__ps,BTMC_sjc
gold_btmc_sjc_egarch__ps_v8,GOLD,egarch__ps,BTMC_sjc
gold_btmc_sjc_egarch__ps,GOLD,egarch__ps,BTMC_sjc
gold_btmc_sjc_egarch__ps_v10,GOLD,egarch__ps,BTMC_sjc
gold_btmc_sjc_egarch__ps_v6,GOLD,egarch__ps,BTMC_sjc
gold_xau_spot_egarch__ps_v6,GOLD,egarch__ps,XAU_spot
gold_xau_spot_egarch__ps_v2,GOLD,egarch__ps,XAU_spot
gold_xau_spot_egarch__ps_v10,GOLD,egarch__ps,XAU_spot
gold_xau_spot_egarch__ps_v5,GOLD,egarch__ps,XAU_spot
gold_xau_spot_egarch__ps_v4,GOLD,egarch__ps,XAU_spot
gold_xau_spot_egarch__ps,GOLD,egarch__ps,XAU_spot
gold_xau_spot_egarch__ps_v7,GOLD,egarch__ps,XAU_spot
gold_xau_spot_egarch__ps_v8,GOLD,egarch__ps,XAU_spot
gold_ema_v7,GOLD,ema,
gold_ema_v10,GOLD,ema,
gold_ema_v5,GOLD,ema,
gold_ema_v2,GOLD,ema,
gold_ema_v6,GOLD,ema,
gold_ema_v4,GOLD,ema,
gold_ema_v8,GOLD,ema,
gold_ema,GOLD,ema,
gold_ema_v9,GOLD,ema,
gold_ema_v3,GOLD,ema,
gold_btmc_nhan_tron_ema__ps,GOLD,ema__ps,BTMC_nhan_tron
gold_btmc_nhan_tron_ema__ps_v3,GOLD,ema__ps,BTMC_nhan_tron
gold_btmc_nhan_tron_ema__ps_v9,GOLD,ema__ps,BTMC_nhan_tron
gold_btmc_nhan_tron_ema__ps_v8,GOLD,ema__ps,BTMC_nhan_tron
gold_btmc_nhan_tron_ema__ps_v7,GOLD,ema__ps,BTMC_nhan_tron
gold_btmc_nhan_tron_ema__ps_v6,GOLD,ema__ps,BTMC_nhan_tron
gold_btmc_nhan_tron_ema__ps_v4,GOLD,ema__ps,BTMC_nhan_tron
gold_btmc_nhan_tron_ema__ps_v5,GOLD,ema__ps,BTMC_nhan_tron
gold_btmc_nhan_tron_ema__ps_v2,GOLD,ema__ps,BTMC_nhan_tron
gold_btmc_nhan_tron_ema__ps_v10,GOLD,ema__ps,BTMC_nhan_tron
gold_btmc_sjc_ema__ps_v8,GOLD,ema__ps,BTMC_sjc
gold_btmc_sjc_ema__ps_v3,GOLD,ema__ps,BTMC_sjc
gold_btmc_sjc_ema__ps_v10,GOLD,ema__ps,BTMC_sjc
gold_btmc_sjc_ema__ps_v7,GOLD,ema__ps,BTMC_sjc
gold_btmc_sjc_ema__ps_v4,GOLD,ema__ps,BTMC_sjc
gold_btmc_sjc_ema__ps,GOLD,ema__ps,BTMC_sjc
gold_btmc_sjc_ema__ps_v9,GOLD,ema__ps,BTMC_sjc
gold_btmc_sjc_ema__ps_v2,GOLD,ema__ps,BTMC_sjc
gold_btmc_sjc_ema__ps_v6,GOLD,ema__ps,BTMC_sjc
gold_btmc_sjc_ema__ps_v5,GOLD,ema__ps,BTMC_sjc
gold_xau_spot_ema__ps_v6,GOLD,ema__ps,XAU_spot
gold_xau_spot_ema__ps_v3,GOLD,ema__ps,XAU_spot
gold_xau_spot_ema__ps_v4,GOLD,ema__ps,XAU_spot
gold_xau_spot_ema__ps_v9,GOLD,ema__ps,XAU_spot
gold_xau_spot_ema__ps_v8,GOLD,ema__ps,XAU_spot
gold_xau_spot_ema__ps_v10,GOLD,ema__ps,XAU_spot
gold_xau_spot_ema__ps_v2,GOLD,ema__ps,XAU_spot
gold_xau_spot_ema__ps_v7,GOLD,ema__ps,XAU_spot
gold_xau_spot_ema__ps_v5,GOLD,ema__ps,XAU_spot
gold_xau_spot_ema__ps,GOLD,ema__ps,XAU_spot
gold_btmc_nhan_tron_ensemble__ps_v6,GOLD,ensemble__ps,BTMC_nhan_tron
