id,market,algorithm,sym,closed,wins,wr,pnl,bucket
sp500_qqq_arima_garch__ps_v7,SP500,arima_garch__ps,QQQ,9,2,22.2,0.41,B_FRAGILE_lowwr_profit
sp500_qqq_arima_garch__ps_v3,SP500,arima_garch__ps,QQQ,9,2,22.2,0.41,B_FRAGILE_lowwr_profit
sp500_qqq_arima_garch__ps_v9,SP500,arima_garch__ps,QQQ,9,2,22.2,0.41,B_FRAGILE_lowwr_profit
sp500_qqq_arima_garch__ps_v6,SP500,arima_garch__ps,QQQ,9,2,22.2,0.41,B_FRAGILE_lowwr_profit
sp500_qqq_arima_garch__ps,SP500,arima_garch__ps,QQQ,9,2,22.2,0.41,B_FRAGILE_lowwr_profit
crypto_eth_xgboost__ps_v3,CRYPTO,xgboost__ps,ETH,9,1,11.1,0.45,B_FRAGILE_lowwr_profit
crypto_eth_xgboost__ps_v9,CRYPTO,xgboost__ps,ETH,9,1,11.1,0.45,B_FRAGILE_lowwr_profit
gold_lstm_nn_v6,GOLD,lstm_nn,"",13,1,7.7,0.50,B_FRAGILE_lowwr_profit
gold_lstm_nn_v7,GOLD,lstm_nn,"",13,1,7.7,0.50,B_FRAGILE_lowwr_profit
gold_lstm_nn,GOLD,lstm_nn,"",13,1,7.7,0.50,B_FRAGILE_lowwr_profit
sp500_gru_nn_v9,SP500,gru_nn,"",46,10,21.7,0.58,B_FRAGILE_lowwr_profit
nasdaq_qcom_arima_garch__ps_v9,NASDAQ,arima_garch__ps,QCOM,24,3,12.5,0.81,B_FRAGILE_lowwr_profit
sp500_meta_stack,SP500,meta_stack,"",18,5,27.8,0.83,B_FRAGILE_lowwr_profit
nasdaq_intc_lightgbm__ps_v6,NASDAQ,lightgbm__ps,INTC,11,3,27.3,0.84,B_FRAGILE_lowwr_profit
nasdaq_intc_lightgbm__ps_v3,NASDAQ,lightgbm__ps,INTC,11,3,27.3,0.84,B_FRAGILE_lowwr_profit
nasdaq_ensemble_v7,NASDAQ,ensemble,"",45,10,22.2,0.89,B_FRAGILE_lowwr_profit
sp500_arima_garch_v11,SP500,arima_garch,"",6,1,16.7,1.01,B_FRAGILE_lowwr_profit
